time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1667581627196801500,55.87380151367187,-1.638384931857563,-0.36162413997327286,0.622085643257992,0.09271508092762293,-0.6122778858105877,0.3276480186120132,1.0168956062917407
1667581627206823400,55.883823486328126,-1.6413695180493288,-0.36053491592761994,0.6234648977258971,0.09538669665416855,-0.6125301010708366,0.3257497566506826,1.0119437611359627
1667581627216844300,55.89384423828125,-1.643405395377466,-0.35933243606339393,0.6247015962641504,0.09680897276922408,-0.6128043804976966,0.3241896756065834,1.0073971003853748
1667581627226865400,55.90386547851563,-1.644798542615313,-0.3580569322624593,0.6258209232622487,0.09682111632381325,-0.6129108681878789,0.3232394009713326,1.003755089928168
1667581627236887600,55.913887451171874,-1.645993539918331,-0.3567851938213727,0.6268694588832632,0.09583960976201909,-0.6127717315702347,0.3228773230406546,1.0010903953849262
1667581627246908400,55.923908447265624,-1.647186235564983,-0.35553011868247947,0.6278894513692523,0.09432384728491668,-0.6124519785101965,0.3228866596853566,0.9990632812727571
1667581627256930300,55.93393041992187,-1.6482783974557957,-0.35425721615372086,0.6288913542198361,0.0925651491691287,-0.6121016113643758,0.3230003973111985,0.9971858079008118
1667581627266951400,55.94395141601562,-1.6491256880448981,-0.3529343121806824,0.6298726994985121,0.09077514763069063,-0.6118620763993402,0.32299008257795564,0.9950377354175297
1667581627276972300,55.95397216796875,-1.6494338948987526,-0.35145302181173493,0.6308341795939317,0.08861363049825537,-0.6117963236300861,0.322853335388778,0.9924525848365189
1667581627286994400,55.96399438476563,-1.6488730648013419,-0.3497942491613881,0.6317149499126397,0.0859406054236809,-0.6120004146660967,0.3225457609213116,0.9893377209458638
1667581627297015600,55.974015625,-1.6478870256663811,-0.3481358784711147,0.6325084972605048,0.08351157695125065,-0.6124505541146041,0.3219297698219018,0.9857357850057135
1667581627307037400,55.984037353515625,-1.6469873003295998,-0.346650681727233,0.6332238832140027,0.08189384992824945,-0.6130378087368114,0.3210070603905873,0.9819079389970857
1667581627317058300,55.994058349609375,-1.6461239492178907,-0.3453580114387974,0.6338361237716424,0.08093229216182846,-0.6137218363757209,0.31988319177984564,0.9780588651762036
1667581627327079400,56.004079345703126,-1.6451596207093562,-0.3442010205229913,0.6343453820018062,0.08030242389808778,-0.6144813931021992,0.318660079271192,0.9742688067075262
1667581627337101300,56.01410131835937,-1.6436827969658132,-0.34312045071604635,0.6346891581292594,0.07945755360163369,-0.6153359412761973,0.3174897187581566,0.9707036031464392
1667581627347122400,56.02412231445312,-1.6413962260919988,-0.3420205754081918,0.6348462651272968,0.07771743201268266,-0.6162365027593835,0.31661450436990934,0.9676133579539178
1667581627357144300,56.03414428710938,-1.6382786008538723,-0.3409587777325557,0.6347690658913697,0.07479555054663746,-0.6170740922295977,0.31628294902644033,0.9654883985558422
1667581627367165400,56.04416552734375,-1.6344022881061027,-0.3399949909748632,0.6344369437872135,0.07063481122572354,-0.617772904919008,0.3166224977166059,0.9646216277682768
1667581627377186300,56.05418627929687,-1.629970885291356,-0.3390622758059083,0.633936420667724,0.06515882977119829,-0.618259526336979,0.3176736139433765,0.9649610054056719
1667581627387208200,56.064208251953126,-1.6249049976880359,-0.33801380992319713,0.633337245024396,0.05806688375547587,-0.6185389893785838,0.3194369888137998,0.966271254413191
1667581627397229300,56.074229248046876,-1.6189696502007143,-0.33673590169055795,0.6326536722793544,0.04895773734898269,-0.6186273269158381,0.3219604203666243,0.9684472422248238
1667581627407251500,56.08425146484375,-1.6123025086311835,-0.335187442617161,0.6319472119846765,0.038024705759188926,-0.618543339531598,0.32510966285693166,0.9711942081986095
1667581627417272300,56.094272216796874,-1.605453795420733,-0.33343664150370994,0.6313161373458601,0.026462875933001097,-0.6184138281584524,0.32836627429290927,0.9737673143505471
1667581627427293200,56.104293212890624,-1.5992519309512105,-0.3316569040851458,0.6308588395964935,0.01606509112977235,-0.6184066018908078,0.3310499848795607,0.9753339725274021
1667581627437315300,56.1143154296875,-1.5942971222745905,-0.3300446899698512,0.6306036845323034,0.00838753214334176,-0.6187022103622205,0.3325913928662616,0.9752915721823466
1667581627447336400,56.12433642578125,-1.5906840326392404,-0.32866791727965255,0.6305318232534165,0.003967136790420376,-0.619414200505257,0.332765765323781,0.9733982216157248
1667581627457358300,56.1343583984375,-1.5883601838121502,-0.32759675989476245,0.6305910780038956,0.0027590759473992365,-0.6205131584290814,0.3316604149811827,0.9699198422947878
1667581627467379500,56.14437939453125,-1.5870056500695597,-0.32680882899553554,0.6307190012066212,0.003758853081671227,-0.6218015235710054,0.3297762124276924,0.9656391692430081
1667581627477400300,56.154400390625,-1.5863216726335745,-0.3262153396673586,0.6308927348461792,0.005558355165529066,-0.6229767370383583,0.3278075579573179,0.9615367355839968
1667581627487422200,56.164422119140625,-1.5858636431738449,-0.3257584787654111,0.6310407153745443,0.007051906865041189,-0.6238851743499556,0.32624559984897716,0.9583084935479902
1667581627497443300,56.174443359375,-1.585389472708152,-0.32532840101467553,0.6311647609543447,0.007564174386888344,-0.6244637806757641,0.32532687276938227,0.9561567139304245
1667581627507465500,56.184465576171874,-1.584700800509289,-0.3248931264651528,0.631236649034103,0.006919487581222694,-0.6247533327058383,0.3250662643076822,0.9550517071478944
1667581627517486300,56.194486328125,-1.5839316104135777,-0.3245030627916792,0.6312620554061283,0.0054492567808601695,-0.6247832578780987,0.3253487614021893,0.9548876089200211
1667581627527507200,56.20450708007812,-1.5832233323468297,-0.32418559177427847,0.63126166542813,0.003715160684013175,-0.624665593920483,0.3258917622285304,0.95525520689751
1667581627537529300,56.214529296875,-1.5830051936770173,-0.3239368552540929,0.6313377899279143,0.002393644080978686,-0.6244501800252389,0.3264038609923478,0.95568123726432
1667581627547550500,56.22455053710937,-1.5836529650879279,-0.32383128208665724,0.6315391603827805,0.002212322726076592,-0.6241865466438292,0.32662349210384367,0.9558654241362526
1667581627557572400,56.234572265625,-1.5853816808907515,-0.32390295990580237,0.6318977444706889,0.003478082143318097,-0.623870583430415,0.3264620769357003,0.9557181805835743
1667581627567593200,56.24459326171875,-1.5882176714977565,-0.32422880023110545,0.6323795243303352,0.006273900101966899,-0.6234795502668913,0.325952617396189,0.9554118777436429
1667581627577614300,56.2546142578125,-1.5923040957939438,-0.3249338511021307,0.6329507196798825,0.01073685434826616,-0.6229348617376939,0.32518254195112545,0.9552780190457957
1667581627587636200,56.26463623046875,-1.597507292584548,-0.3260048434996878,0.6335842751892442,0.01659907895726207,-0.6222084177989604,0.3242660516547513,0.9554709215818327
1667581627597657300,56.2746572265625,-1.6033357461749334,-0.3274365261248858,0.634166606747446,0.0235341278533802,-0.6213935151528059,0.3232464339399956,0.9560470120445327
1667581627607679500,56.28467944335937,-1.6094962287049217,-0.32920345054170563,0.6346395474365567,0.031316452468736766,-0.6205464901302442,0.32214877001480924,0.9570025456002562
1667581627617700400,56.29470043945312,-1.6156322049217307,-0.3311720926712463,0.6349867266520194,0.03933569883584322,-0.6196812869570139,0.32111076398982363,0.9583505173158238
1667581627627721200,56.30472119140625,-1.6217250037573283,-0.333146098807195,0.6353033394867574,0.046996159797806386,-0.618713848233276,0.32030705103706625,0.9600643768329885
1667581627637743400,56.31474340820313,-1.6275329810850567,-0.3350816800212929,0.6355565802901101,0.054072402155744194,-0.6176915151971079,0.3197583041550266,0.9621158393996352
1667581627647764500,56.32476440429687,-1.6332605484012497,-0.3369660219790048,0.6358000578537504,0.06072851304274159,-0.61659250877699,0.3194149444412827,0.9644042317404068
1667581627657785300,56.33478540039062,-1.6391627144235654,-0.33879635318209966,0.6360979905715335,0.06737060839743646,-0.6154464624233884,0.31909557823687557,0.9666267836654435
1667581627667807200,56.34480712890625,-1.6453974295473521,-0.34056596580551246,0.6364982306189066,0.07439807451539802,-0.6143208247892163,0.3185824275485743,0.9684135088281336
1667581627677828400,56.35482836914063,-1.6518905894762397,-0.3422470280204876,0.6370098618781741,0.08196817664926132,-0.6133074557480994,0.3177097449293476,0.9694484367877213
1667581627687850200,56.364850341796874,-1.6583614503419892,-0.34379404461715074,0.6376090157269638,0.09006881790253474,-0.6125336654878522,0.31632727546388456,0.969418934695334
1667581627697871400,56.374871337890625,-1.6648281574044603,-0.34517154546451423,0.6383351395369325,0.09884530715604713,-0.6120507640126226,0.3142907334016031,0.9680303196599488
1667581627707893200,56.38489331054687,-1.6711970684061723,-0.3462791477735832,0.6392307662745053,0.10791160005468353,-0.6118170577883002,0.311696314623317,0.9652842269266685
1667581627717914400,56.39491430664062,-1.6774123647283485,-0.3470993611729446,0.6402913540820694,0.11690149288726456,-0.6117428361135289,0.3087390060803812,0.9614755397583211
1667581627727935200,56.40493530273437,-1.6832183502379998,-0.34756574729732875,0.641486603350751,0.12510327000978722,-0.6117378163095057,0.3057283211970302,0.9570210821559244
1667581627737957000,56.41495703125,-1.6882713675847534,-0.3475822500147492,0.6427783191719543,0.1317057744371243,-0.611737139854089,0.3029855406050477,0.952320339326693
1667581627747978500,56.424978515625,-1.6923103016858523,-0.34728786950509705,0.6440083442003207,0.1365335325828374,-0.6117313792913854,0.3007141268047717,0.947945273014561
1667581627757999400,56.43499926757813,-1.6953512894040075,-0.3467702128649869,0.6451118047697201,0.13952236905249385,-0.6116625109251083,0.2990820607822033,0.9443148370224982
