time,seconds_elapsed,MAGNETIC FIELD Z (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD X (μT)
1667857361598996200,93.58699633789062,-33.236812591552734,28.122713088989258,-7.465629577636719
1667857361609016000,93.59701611328126,-33.18340301513672,28.234071731567383,-7.8891143798828125
1667857361619037200,93.607037109375,-32.96798324584961,28.402738571166992,-8.152816772460938
1667857361629057300,93.61705737304688,-32.6546516418457,28.487821578979492,-8.190780639648438
1667857361639078100,93.627078125,-32.74960708618164,28.5502986907959,-8.192741394042969
1667857361649098200,93.63709814453125,-32.58991241455078,28.724409103393555,-8.055961608886719
1667857361659118000,93.6471181640625,-32.66745376586914,28.755643844604492,-7.9677581787109375
1667857361669139200,93.65713916015625,-32.51292419433594,29.00919532775879,-7.79400634765625
1667857361679159000,93.66715893554688,-32.4493293762207,28.985124588012695,-7.636360168457031
1667857361689179100,93.67717919921876,-32.50472640991211,29.01143455505371,-7.517143249511719
1667857361699200300,93.6872001953125,-32.71945571899414,28.910364151000977,-7.173431396484375
1667857361709220000,93.69722021484375,-32.479225158691406,28.927663803100586,-6.902717590332031
1667857361719240200,93.707240234375,-32.65679168701172,28.986074447631836,-6.747810363769531
1667857361729261000,93.71726098632813,-32.78783416748047,28.870397567749023,-6.668067932128906
1667857361739281200,93.72728125,-32.8691520690918,28.803625106811523,-6.580192565917969
1667857361749301200,93.73730126953124,-33.062477111816406,28.56966209411621,-6.638404846191406
1667857361759322000,93.74732202148438,-33.1056022644043,28.15046501159668,-6.737678527832031
1667857361769342200,93.75734228515626,-33.110984802246094,27.785375595092773,-7.095001220703125
1667857361779362300,93.7673623046875,-33.86787414550781,27.118505477905273,-7.410682678222656
1667857361789383200,93.77738305664063,-34.34386444091797,26.480878829956055,-7.612968444824219
1667857361799403300,93.7874033203125,-34.75784683227539,25.88216209411621,-7.841888427734375
1667857361809423000,93.79742309570312,-35.44953536987305,25.11737632751465,-7.82269287109375
1667857361819444200,93.8074443359375,-35.94011306762695,24.542539596557617,-7.827873229980469
1667857361829464300,93.81746435546874,-36.25821304321289,24.05396842956543,-7.821388244628906
1667857361839484200,93.82748413085938,-36.18611145019531,23.865663528442383,-7.70025634765625
1667857361849505300,93.83750537109376,-36.175655364990234,23.90153694152832,-7.623291015625
1667857361859525000,93.84752514648437,-36.318233489990234,23.93852424621582,-7.648979187011719
1667857361869546200,93.85754614257813,-35.82343673706055,24.073305130004883,-7.630149841308594
1667857361879566000,93.86756616210937,-36.166221618652344,24.20576286315918,-7.744110107421875
1667857361889586200,93.87758618164062,-35.95294952392578,24.200517654418945,-8.121238708496094
1667857361899607300,93.88760717773438,-36.04216003417969,24.200040817260742,-8.726539611816406
1667857361909627100,93.89762719726562,-36.025054931640625,24.085973739624023,-9.387786865234375
1667857361919647200,93.90764721679687,-36.06220245361328,23.727602005004883,-10.050010681152344
1667857361929668000,93.91766821289062,-36.07084274291992,23.320207595825195,-10.800605773925781
1667857361939688200,93.92768823242187,-36.27872848510742,23.02570915222168,-11.536048889160156
1667857361949708300,93.93770825195313,-36.14045715332031,22.532846450805664,-12.274665832519531
1667857361959729200,93.94772924804687,-36.21418380737305,22.029943466186523,-13.081153869628906
1667857361969749200,93.95774926757812,-36.3034782409668,21.42045021057129,-13.611846923828125
1667857361979769300,93.96776928710938,-36.731529235839844,20.749757766723633,-14.094642639160156
1667857361989790200,93.97779028320312,-36.91554641723633,19.90207862854004,-14.3502197265625
1667857361999810300,93.98781030273437,-37.16673278808594,19.344038009643555,-14.789520263671875
1667857362009830100,93.997830078125,-37.39779281616211,18.852933883666992,-14.812767028808594
1667857362019851300,94.00785131835937,-37.39812469482422,18.25078010559082,-14.934478759765625
1667857362029871000,94.01787109375,-37.540550231933594,17.883928298950195,-15.209381103515625
1667857362039891200,94.02789111328126,-37.66892623901367,17.563894271850586,-15.481315612792969
1667857362049912300,94.03791235351562,-37.624237060546875,17.179956436157227,-15.934120178222656
1667857362059932200,94.04793212890625,-37.508201599121094,16.951025009155273,-16.436660766601562
1667857362069952300,94.0579521484375,-37.56002426147461,16.49076271057129,-16.91796112060547
1667857362079973000,94.06797314453125,-37.60593795776367,16.224702835083008,-17.45630645751953
