time,seconds_elapsed,GRAVITY Z (m/s²),GRAVITY Y (m/s²),GRAVITY X (m/s²)
1667857404004928500,135.99292846679688,-9.769705293962359,-0.6981929847911,-0.48556006874032315
1667857404014948600,136.00294848632814,-9.786315652501582,-0.3862027091378346,-0.4992559646049514
1667857404024968700,136.01296875,-9.799532276949286,-0.17185394734619183,-0.33168888253141193
1667857404034988500,136.02298852539062,-9.80623908111155,-0.07302152493325993,-0.05221374667023774
1667857404045009700,136.033009765625,-9.803339852538704,-0.08318016831614077,0.2408110358521342
1667857404055029500,136.0430295410156,-9.792665898311137,-0.18456340772304683,0.48991428189445285
1667857404065049300,136.05304931640626,-9.77694109043479,-0.35503169113080946,0.6750960407115518
1667857404075069400,136.0630693359375,-9.758011933559178,-0.5666355929274112,0.7940493870679288
1667857404085090600,136.07309057617186,-9.735599610742925,-0.7949530579093843,0.8697927564468234
1667857404095110400,136.0831103515625,-9.709010294502972,-1.02115170410648,0.9288459069833159
1667857404105130500,136.09313061523437,-9.678091424626112,-1.233994098189473,0.9910541605498641
1667857404115151600,136.10315161132812,-9.643152213191986,-1.4264591824151576,1.070146548095718
1667857404125171500,136.11317138671876,-9.604158757930993,-1.5928355933994054,1.1804192329335956
1667857404135191600,136.12319165039062,-9.559694762304424,-1.7291658256880937,1.3388817289881407
1667857404145211400,136.13321142578124,-9.506608484283088,-1.8349222021453082,1.5581513796396553
1667857404155232500,136.143232421875,-9.444919797611236,-1.9093287699624895,1.8216316356785593
1667857404165252400,136.15325244140624,-9.38183702623248,-1.954341339382529,2.081361745403707
1667857404175272400,136.1632724609375,-9.330654536005854,-1.9770092443950473,2.2805060151323673
1667857404185292500,136.17329248046875,-9.300421310305595,-1.9902188545800745,2.389890665089339
1667857404195313000,136.18331298828124,-9.287889745512604,-2.011115658266842,2.4209295080840585
1667857404205333000,136.1933330078125,-9.27937676871121,-2.055840935178101,2.4160018424235283
1667857404215353000,136.20335302734375,-9.260716491904855,-2.1346552364349365,2.419246815694123
1667857404225373000,136.213373046875,-9.224289672261476,-2.2497604559957978,2.4538614713490006
1667857404235394000,136.22339404296875,-9.168985718190669,-2.391939268182218,2.5256106565251946
1667857404245414100,136.2334140625,-9.097290016767381,-2.5437995164275167,2.6341572482228277
1667857404255434000,136.24343408203126,-9.012675212538241,-2.686903626765311,2.7789596869111057
1667857404265455000,136.253455078125,-8.917773992094396,-2.8081685379996895,2.9593714913800357
1667857404275475000,136.26347485351562,-8.813658953103422,-2.9002552855446933,3.1746368748262523
1667857404285495000,136.2734951171875,-8.705168767768145,-2.957767563314736,3.4120419016271826
1667857404295515100,136.28351513671876,-8.600089267659186,-2.9761791260570285,3.6539305035829543
1667857404305536000,136.29353588867187,-8.509696464550494,-2.9522026226639744,3.878137902897596
1667857404315556000,136.30355615234376,-8.443876961684227,-2.8870862996309996,4.066456242707371
1667857404325576200,136.313576171875,-8.399702304393053,-2.788083489087224,4.223976708671451
1667857404335596000,136.32359594726563,-8.360997602945565,-2.667027544428408,4.376193807530403
1667857404345617200,136.3336171875,-8.311205690294504,-2.537399001735449,4.54487104280293
1667857404355637000,136.34363696289063,-8.242010573515296,-2.412782149724662,4.734778405369818
1667857404365657000,136.35365698242188,-8.155524714717268,-2.304381396238506,4.934332132682204
1667857404375677200,136.36367724609374,-8.060438785356283,-2.2202730802267787,5.125436303818225
1667857404385698000,136.37369799804688,-7.963893304836749,-2.165061188353598,5.297103368556499
1667857404395718100,136.38371826171874,-7.8721718834728,-2.1343718894489108,5.444606882897019
1667857404405738200,136.39373828125,-7.787997224226594,-2.116382205380499,5.571211986115575
1667857404415759000,136.40375903320313,-7.709158665311336,-2.1005672350026665,5.685672478032112
1667857404425779200,136.413779296875,-7.634677717083692,-2.079614024953544,5.792865024772286
1667857404435799000,136.42379907226564,-7.5681620486468075,-2.049727420733869,5.8899850903093816
1667857404445819100,136.43381909179686,-7.512217458584904,-2.0119374960437417,5.974033492827415
1667857404455840000,136.44384008789064,-7.4727914571255445,-1.9700107638098299,6.037120355859399
1667857404465860000,136.4538601074219,-7.463117619851231,-1.9248204997353255,6.063606796246766
1667857404475880200,136.46388012695311,-7.489859496304392,-1.8730466194868087,6.046825172793865
1667857404485900000,136.47390014648437,-7.538543155452609,-1.813569909776002,6.0043082195818425
1667857404495921200,136.4839211425781,-7.596587348142266,-1.7501758804909884,5.949717382216453
1667857404505941000,136.49394091796876,-7.6700564889788625,-1.6816799980223178,5.874740174904465
1667857404515960800,136.5039609375,-7.759405335992574,-1.6103732959166168,5.776566216400266
1667857404525981000,136.51398095703124,-7.855376231494546,-1.5420231055289506,5.664416339513659
1667857404536002000,136.524001953125,-7.944248693168163,-1.4796315312847494,5.55607637630403
1667857404546022000,136.53402197265626,-8.019088537836074,-1.4210022321835158,5.463089465048909
1667857404556042000,136.5440419921875,-8.080780147117375,-1.3642876806624233,5.386102671480178
1667857404566062800,136.55406274414062,-8.13452342774272,-1.3078051843315361,5.318793222317099
1667857404576083000,136.5640830078125,-8.184944870468973,-1.2499343023821712,5.254971615269779
1667857404586103000,136.57410302734374,-8.233016535198688,-1.1867315578855573,5.194179000654817
1667857404596123000,136.58412280273438,-8.27736128835976,-1.113694305660203,5.139587578767538
1667857404606144000,136.59414404296874,-8.315545765325426,-1.0325077953793107,5.0947044809460635
1667857404616164000,136.6041640625,-8.344898701059817,-0.9478514170307666,5.063064895579219
1667857404626184000,136.61418383789064,-8.36384422454834,-0.8624421014230698,5.047047242236137
1667857404636204000,136.6242041015625,-8.375197977733611,-0.7785236088950187,5.041859025943279
1667857404646225000,136.63422485351563,-8.383011281833053,-0.6990410529877991,5.040520470815896
1667857404656245000,136.6442448730469,-8.390077566957473,-0.6267866217032074,5.038265385365486
1667857404666265000,136.65426513671875,-8.40226367931366,-0.5654609231248497,5.0251972294777625
1667857404676286000,136.66428588867188,-8.423968146121501,-0.5190156905531883,4.9937727481663226
1667857404686306000,136.67430615234375,-8.455718206125498,-0.4910966966120526,4.94267559813559
1667857404696326100,136.684326171875,-8.494361532774567,-0.4878595413217321,4.876289693558216
1667857404706346000,136.69434594726562,-8.535226042604446,-0.5139593935443089,4.80168131955862
1667857404716367000,136.7043671875,-8.574060507911444,-0.568491449927166,4.725747249913216
1667857404726387000,136.71438696289061,-8.606856862097978,-0.6425204896688461,4.656132446417212
1667857404736407000,136.72440698242187,-8.624466168546675,-0.7250218088753521,4.611216030848026
1667857404746427100,136.73442724609376,-8.638516905730961,-0.7993044580519199,4.572473627738654
1667857404756448000,136.74444799804687,-8.653345641550422,-0.8505675392340868,4.5350329548776145
1667857404766468000,136.75446801757812,-8.666754573699832,-0.8777168274443596,4.504150033096969
1667857404776488200,136.76448828125,-8.68208833643198,-0.8832942622505128,4.4734240554437035
1667857404786508000,136.77450805664063,-8.698186653795839,-0.8717352688167244,4.444323925426602
1667857404796529200,136.78452905273437,-8.713660117259622,-0.8506090402882546,4.418028331436217
1667857404806549000,136.79454907226562,-8.732486982804536,-0.8274051287028938,4.385140791834891
1667857404816569000,136.80456909179688,-8.75017870683968,-0.8167315398015081,4.351747056277096
1667857404826590000,136.81458984375,-8.76530671786666,-0.8336975068453699,4.3179540922686455
1667857404836610000,136.82461010742188,-8.778613943207263,-0.8877757185135036,4.279974490225315
1667857404846630100,136.83463012695313,-8.786795496097206,-0.9830337895710021,4.24219917858243
1667857404856650200,136.84465014648438,-8.786569870647787,-1.122908927924931,4.207807371897995
1667857404866671000,136.85467114257813,-8.777872184929251,-1.3014786116585135,4.174386163811385
1667857404876691200,136.86469116210938,-8.77095261479914,-1.4923143411166966,4.124775745207071
1667857404886711000,136.8747109375,-8.784802276453375,-1.6461781842693686,4.035806252899766
1667857404896731100,136.8847312011719,-8.820859678262472,-1.735881105417758,3.917848566517234
1667857404906752000,136.894751953125,-8.867408078947662,-1.7737408804737032,3.7938501386657353
1667857404916772000,136.90477221679689,-8.92386763279438,-1.778360649228841,3.65682914763391
1667857404926792200,136.9147922363281,-8.984825667104124,-1.7570633019171653,3.5151135690450666
1667857404936812000,136.92481201171876,-9.035507806593179,-1.722862780021131,3.4002538486778735
1667857404946833200,136.93483325195314,-9.074467359584569,-1.6897200966149568,3.3119898742914198
1667857404956853000,136.94485302734375,-9.107723147976397,-1.6639124322719872,3.2328254444226623
1667857404966872800,136.95487280273437,-9.139671945422887,-1.6487361981891095,3.149357179880142
1667857404976893000,136.96489282226563,-9.174073396718502,-1.6459537278637288,3.0491961392119524
1667857404986913800,136.97491381835937,-9.211593272295593,-1.6593701126672327,2.926332268348336
1667857404996934000,136.98493383789062,-9.249328251928091,-1.690205395913869,2.7863085883691907
1667857405006954000,136.9949541015625,-9.284686565557122,-1.7377414924621581,2.6353803602769967
1667857405016974800,137.00497485351562,-9.315896527335047,-1.7992454702168703,2.479349548348784
1667857405026995000,137.01499487304687,-9.342551894548535,-1.8720372963137923,2.3200386918365954
1667857405037015000,137.02501513671876,-9.363631507456303,-1.949814363477379,2.165873819910735
1667857405047035000,137.03503491210938,-9.376862744951248,-2.01527438538149,2.0453589963912964
1667857405057056000,137.04505590820312,-9.391931134745478,-2.0536996853657064,1.9350287361472844
1667857405067075800,137.05507592773438,-9.410897116500138,-2.064698633763939,1.8282286958560348
1667857405077096000,137.06509594726563,-9.43135421359539,-2.0492472360014915,1.7379662411287427
1667857405087116000,137.0751159667969,-9.454823936510085,-2.0134942239664495,1.6500097252562642
1667857405097137000,137.08513696289063,-9.478920851412415,-1.9652013177014886,1.5679362760730087
1667857405107157000,137.09515698242188,-9.499754380604625,-1.909606563990563,1.5094551532708107
1667857405117177000,137.10517700195314,-9.517377715578675,-1.8525372076824307,1.4690177828118205
1667857405127198000,137.11519799804688,-9.533023612999916,-1.7991941784210501,1.433438958299905
1667857405137218000,137.12521801757813,-9.546606148150563,-1.7545616943597793,1.3979285228490828
1667857405147238100,137.1352380371094,-9.55789618844986,-1.7202824081391095,1.3629489794045686
1667857405157258000,137.1452580566406,-9.567228664940595,-1.6942602242626248,1.3296630881354212
1667857405167279000,137.1552790527344,-9.574988777548073,-1.6724826922185718,1.3010660853348672
1667857405177299000,137.165298828125,-9.581849895489215,-1.6506423240713775,1.2782479581966995
1667857405187318800,137.17531884765626,-9.58859294000864,-1.6253784112162888,1.2599274347387253
1667857405197339000,137.1853388671875,-9.595654548957944,-1.5939663509950042,1.2462217115998266
1667857405207359700,137.19535986328125,-9.603552608731388,-1.5538981061093509,1.2359443554744123
1667857405217379800,137.2053798828125,-9.613319384986161,-1.5047881843730806,1.2206905261106789
1667857405227400000,137.21539990234376,-9.625234863707423,-1.4490581138446925,1.1939320638488977
1667857405237419800,137.22541967773438,-9.63883551903665,-1.3896248048841953,1.1542002843759953
1667857405247441000,137.23544091796876,-9.65438964652121,-1.3275151163212955,1.0958321204289794
1667857405257460700,137.24546069335938,-9.672662385314702,-1.2655796152815222,1.0041360527019947
1667857405267480800,137.25548071289063,-9.693525725123285,-1.2097220459159463,0.8616920867733657
1667857405277501700,137.26550170898437,-9.714454531383513,-1.1682106895498932,0.6595728928871453
1667857405287521800,137.27552172851563,-9.72975497636795,-1.1548172472305596,0.4106722202122211
1667857405297541600,137.28554174804688,-9.734075762176513,-1.1817721088472752,0.1468630153467413
1667857405307561700,137.29556176757814,-9.726557641631365,-1.2475235879786313,-0.0902511387488339
1667857405317582800,137.30558276367188,-9.711323832142352,-1.337978642668575,-0.2652947946475819
1667857405327602700,137.31560278320313,-9.694885323038697,-1.4325604218997061,-0.35686869729962195
1667857405337622500,137.32562255859375,-9.68324281603992,-1.5076013420976697,-0.36376934353355317
1667857405347642600,137.335642578125,-9.67988590682745,-1.5425681721910833,-0.30112657100725915
1667857405357663700,137.34566381835938,-9.68503145302236,-1.5270944164663551,-0.1962891908247955
1667857405367683600,137.35568359375,-9.69639163594842,-1.4641652282141149,-0.08117818084396422
1667857405377703700,137.36570361328126,-9.710401456600428,-1.370537680967897,0.010705552658939268
1667857405387723800,137.37572387695312,-9.723893975380063,-1.2701995301671325,0.05348393100283574
1667857405397744600,137.38574462890625,-9.734565006998182,-1.1863447505250573,0.034777339969878085
1667857405407764700,137.3957646484375,-9.740806531736254,-1.1335891657628119,-0.04531119160701055
1667857405417784600,137.40578466796876,-9.741491591390966,-1.115448236655444,-0.17174268725775182
1667857405427805700,137.4158056640625,-9.73708371182084,-1.1255999936398118,-0.30430996855003756
1667857405437825800,137.42582568359376,-9.730036715918779,-1.1537890732266007,-0.4068599319150671
1667857405447845600,137.435845703125,-9.722877491813897,-1.1864216882187872,-0.477954854433611
1667857405457865700,137.44586572265624,-9.71923592044115,-1.2018014820497482,-0.5123597397953271
1667857405467886600,137.45588647460937,-9.721555303299427,-1.1859767939954995,-0.5051772809453309
1667857405477906700,137.46590673828126,-9.729365100267529,-1.1393886458218097,-0.46004123127609486
1667857405487926800,137.4759267578125,-9.740306180998683,-1.0710286646924911,-0.3869279546724632
1667857405497946600,137.48594653320313,-9.751234402248263,-0.9936812211178243,-0.3105050055315718
1667857405507967700,137.4959677734375,-9.759831550201772,-0.9210419552341103,-0.26029574425127355
1667857405517987800,137.50598779296874,-9.765970199087262,-0.8607402659412473,-0.23524119983054695
1667857405528007700,137.51600756835938,-9.770259420713781,-0.811963010225445,-0.2304898953839205
1667857405538027800,137.52602783203125,-9.773391288998722,-0.7669529980886727,-0.2509711588060483
1667857405548048600,137.53604858398438,-9.776154323971271,-0.7137311109889298,-0.296280409617722
1667857405558068700,137.54606884765624,-9.778840202054381,-0.6443698438625782,-0.35979616558626293
1667857405568088800,137.5560888671875,-9.78137994966507,-0.5611540927764028,-0.4243810851562768
1667857405578109700,137.56610961914063,-9.783683550432324,-0.46124677114095536,-0.48700197464432565
1667857405588129800,137.5761298828125,-9.785710087823867,-0.33737883780132977,-0.5444643123254179
1667857405598150000,137.58614990234375,-9.787188343682885,-0.18463696614960207,-0.5892666730608791
1667857405608169700,137.59616967773437,-9.786844060289859,0.0008477239909378113,-0.622952011976391
1667857405618190800,137.60619091796875,-9.782342657217383,0.2194799506676383,-0.6542039131999016
1667857405628210700,137.61621069335936,-9.771122759544848,0.4592795627212152,-0.6961406553711742
1667857405638230800,137.62623071289062,-9.751348384016751,0.7030240582093596,-0.7663835276376456
1667857405648251000,137.6362509765625,-9.721970313841103,0.9318673006311059,-0.8861695254258811
1667857405658271700,137.64627172851561,-9.683571901863813,1.131047810716927,-1.0580872769895941
1667857405668291800,137.65629174804687,-9.637337389433384,1.2983126949734984,-1.2674743429869413
1667857405678312000,137.66631201171876,-9.583121815121173,1.4402224809601902,-1.503303937164694
1667857405688331800,137.67633178710938,-9.520466329243778,1.5610671209558844,-1.7590258341617881
1667857405698353000,137.68635278320312,-9.452491694170236,1.6543448318511247,-2.020873958954215
1667857405708372700,137.69637280273437,-9.386869759702682,1.7139948523022233,-2.262582235907018
1667857405718392800,137.70639282226563,-9.331358884882926,1.7451131902739405,-2.459817749404907
1667857405728412700,137.71641259765624,-9.292807328170538,1.7525306269235907,-2.596681211787462
1667857405738433800,137.72643383789062,-9.276003492885827,1.7383398967467247,-2.665393221224844
1667857405748454000,137.73645385742188,-9.281375249052047,1.7035023921214043,-2.6691832611575723
1667857405758473700,137.7464736328125,-9.304853739795089,1.651913074659556,-2.619401285378635
1667857405768494800,137.75649487304688,-9.340342986327409,1.5896981721565127,-2.5300664668902755
1667857405778514700,137.7665146484375,-9.381735903945565,1.5232470933884381,-2.4151881879530848
1667857405788534500,137.77653442382814,-9.42353974045217,1.456883108381927,-2.29014784983322
1667857405798554600,137.7865546875,-9.4621456577003,1.39094480144158,-2.16874586821571
1667857405808575700,137.79657568359374,-9.495473926806449,1.3222064885191618,-2.063522721852362
1667857405818595600,137.806595703125,-9.523516948986053,1.2435815723545849,-1.9815427961714565
1667857405828615700,137.81661572265625,-9.547844165512918,1.1488131845101714,-1.9207507660783827
1667857405838635800,137.8266357421875,-9.569472644475102,1.0367175220288336,-1.8763791249103843
1667857405848656600,137.83665673828125,-9.587794483107327,0.909777926158905,-1.848481064159423
1667857405858676700,137.8466767578125,-9.601972646063565,0.7702746898572892,-1.8382548536993562
1667857405868696600,137.85669653320312,-9.61211059371829,0.6205135327830911,-1.8419206827305257
1667857405878716700,137.86671655273437,-9.618333998277782,0.46566458758320656,-1.8550443681977689
1667857405888737800,137.87673779296875,-9.620286301389337,0.3121808297893032,-1.8769694920189677
1667857405898757600,137.88675756835937,-9.617809682142735,0.1633067212153226,-1.9082577797301112
1667857405908777700,137.89677783203126,-9.611116906505822,0.018010064702737145,-1.9484587110847233
1667857405918798600,137.90679858398437,-9.600245383879543,-0.12728861023699864,-1.997366388247162
1667857405928818700,137.91681860351562,-9.585217910617589,-0.27636317328652366,-2.053681565187126
1667857405938838800,137.9268388671875,-9.566505611363052,-0.4300181777277961,-2.113632468280941
1667857405948858600,137.93685864257813,-9.544089196893573,-0.586345415319316,-2.176453373853117
1667857405958879700,137.94687963867187,-9.517429153504967,-0.7422000304304063,-2.2445624489612874
1667857405968899800,137.95689990234376,-9.48573929925561,-0.8960147737443447,-2.321268525892496
1667857405978919700,137.96691967773438,-9.448109533563256,-1.0481382029704749,-2.4093609431043266
1667857405988939800,137.97693969726564,-9.404095619791745,-1.200501432301849,-2.508419867749512
1667857405998960600,137.98696069335938,-9.354428794825077,-1.3559760716520248,-2.6127330596610903
1667857406008980700,137.99698071289063,-9.300606603744626,-1.5141158385582267,-2.7159815449506044
1667857406019000800,138.0070007324219,-9.242945272892714,-1.6714930966593324,-2.8185920245975256
1667857406029020700,138.0170207519531,-9.181217423254251,-1.8238889130860565,-2.9238769841507075
1667857406039041800,138.02704174804688,-9.115448773792385,-1.9685849687904118,-3.033751317320764
1667857406049062000,138.03706176757814,-9.046386928004026,-2.1035900899551807,-3.147725194764137
1667857406059081700,138.04708178710936,-8.97575213381052,-2.2287983319878575,-3.261705209687352
1667857406069101800,138.05710180664062,-8.907364826282858,-2.3431813747540113,-3.3673049342781303
1667857406079122700,138.0671228027344,-8.84583688313067,-2.441043344699591,-3.4587364327847956
1667857406089142800,138.0771428222656,-8.794600616890191,-2.517075467891991,-3.5340789662778374
1667857406099163000,138.08716284179687,-8.75482448681891,-2.5692691809877752,-3.594758183646202
1667857406109183700,138.0971838378906,-8.724943143296242,-2.599475226420164,-3.6453359859779475
1667857406119203800,138.10720385742187,-8.70164994599223,-2.6138629404738545,-3.6904467550754543
1667857406129224000,138.11722387695312,-8.682821326881646,-2.619311269007623,-3.7307103764027354
1667857406139243800,138.12724389648437,-8.66836259341836,-2.6194953934028744,-3.7640558889046307
1667857406149265000,138.13726489257812,-8.657672272577882,-2.615188051597774,-3.7915547212049363
1667857406159284700,138.14728466796876,-8.650897079354523,-2.604057293513417,-3.8146094335779543
1667857406169304800,138.15730493164062,-8.64898452373147,-2.5831813864842057,-3.833096984165907
1667857406179326700,138.16732666015625,-8.652336756768822,-2.552348149064183,-3.846162801966071
1667857406189347600,138.17734765625,-8.660569163063167,-2.517213415057957,-3.8507863701134917
1667857406199368700,138.18736865234376,-8.67375130071938,-2.4874960299253464,-3.8404149059638377
1667857406209388500,138.19738842773438,-8.690173443210124,-2.471917937043309,-3.813252173750102
1667857406219408600,138.20740869140624,-8.707319223800301,-2.4734265880405903,-3.772947635890543
1667857406229428500,138.2174284667969,-8.724183264839649,-2.4880028104037044,-3.7240912505239248
1667857406239449600,138.22744970703124,-8.74113323059678,-2.5076386542439457,-3.6707930833175775
1667857406249469400,138.2374694824219,-8.758040526255964,-2.5253371002808214,-3.61798065380156
1667857406259489500,138.2474895019531,-8.773941275221109,-2.5379621885761616,-3.5703073407396673
1667857406269509600,138.25750952148437,-8.787522641327977,-2.545254099150002,-3.5315029783099887
1667857406279530500,138.26753051757814,-8.79997529566586,-2.548165018160641,-3.49823812982887
1667857406289550600,138.27755053710936,-8.812010016852616,-2.5474519014552235,-3.468335158996284
1667857406299570700,138.28757080078125,-8.822283573585748,-2.5421792217493056,-3.446014606116712
1667857406309590500,138.29759057617187,-8.830945018947125,-2.530813485865295,-3.432167282550037
1667857406319611600,138.3076115722656,-8.840099216261505,-2.5120538403376935,-3.422370111157
1667857406329631500,138.31763159179687,-8.851244879654049,-2.4848884777754545,-3.413382210320234
1667857406339651600,138.32765161132812,-8.865075252085923,-2.4485892300345,-3.4037089575678108
1667857406349672400,138.33767236328126,-8.882163165009022,-2.4028593061253427,-3.3917291814386843
1667857406359692500,138.34769262695312,-8.902171349292994,-2.3484932174265385,-3.377322762684524
1667857406369712600,138.35771264648437,-8.924568474540115,-2.2870127666778863,-3.360361983272433
1667857406379732700,138.36773266601563,-8.949146450957656,-2.219044122953713,-3.3405104508548975
1667857406389753600,138.37775366210937,-8.975532353579997,-2.1442744209125637,-3.3184771904841064
1667857406399773700,138.38777368164062,-9.003049306058884,-2.0628275791950523,-3.2954856064751743
1667857406409793500,138.39779345703124,-9.031251318192481,-1.9753056553475559,-3.271857185867429
1667857406419813600,138.40781372070313,-9.060504300683736,-1.8813376241005957,-3.2462615568399427
1667857406429834500,138.41783447265624,-9.091216249811648,-1.7794119118474423,-3.2177427338421345
1667857406439854600,138.4278544921875,-9.122869863703846,-1.6686889990240334,-3.187335905140638
1667857406449874700,138.43787475585938,-9.154760208961367,-1.5503807456381618,-3.155482677023113
1667857406459894800,138.44789477539064,-9.186315038654207,-1.4265344396084547,-3.122017922055721
1667857406469915600,138.45791552734374,-9.216901315575837,-1.2986068556144832,-3.087513302646577
1667857406479935700,138.46793579101563,-9.245923996442556,-1.1687995953537522,-3.0524066256910563
1667857406489955600,138.47795556640625,-9.272752966657281,-1.0384330207098276,-3.01796221203655
1667857406499975700,138.4879755859375,-9.296649975073336,-0.9081899993803352,-2.9862808333545923
1667857406509996500,138.49799658203125,-9.317243850290774,-0.777979272885248,-2.958732316693663
1667857406520016600,138.5080166015625,-9.335095148801804,-0.6477566367566585,-2.9337349458202717
1667857406530036700,138.51803662109376,-9.350521850514411,-0.5179807580148801,-2.9102956180438397
1667857406540057600,138.5280576171875,-9.36309666992724,-0.3899096738969907,-2.8897715931922194
1667857406550077700,138.53807763671875,-9.373200715312361,-0.26463331679785623,-2.871143172828853
1667857406560097800,138.54809790039062,-9.381741164642571,-0.1413694137659855,-2.8518995431765912
1667857406570117600,138.55811767578126,-9.388301838332413,-0.018948720092605797,-2.8336931476175784
1667857406580138800,138.568138671875,-9.391827089849114,0.10120887835384346,-2.8202342388466
1667857406590158600,138.57815869140626,-9.391543596732616,0.21510478605702518,-2.8147873716175553
1667857406600178700,138.5881787109375,-9.387814931598305,0.31771581369321794,-2.8175124126672744
1667857406610198500,138.59819848632813,-9.381505017799139,0.4068697226567194,-2.8270494718194006
1667857406620219600,138.6082197265625,-9.373719186228513,0.48177072292733936,-2.841068060299754
1667857406630239700,138.61823974609376,-9.365853275159001,0.543747615423426,-2.855786321482062
1667857406640259600,138.62825952148438,-9.359228304061293,0.5964329479610547,-2.8669664716660974
1667857406650279400,138.63827954101563,-9.354487247014045,0.6447917956016957,-2.8719667641714213
1667857406660300500,138.64830053710938,-9.351301018193364,0.6932379927322269,-2.871057248111069
1667857406670320400,138.6583203125,-9.34824864488542,0.7442520675893872,-2.8682267008602618
1667857406680340500,138.6683405761719,-9.343797510695456,0.7967126879930496,-2.868637327487767
1667857406690360600,138.6783605957031,-9.337312240329384,0.8452937635496258,-2.875840682995319
1667857406700381400,138.68838134765625,-9.329113151782751,0.8829371924411505,-2.8910999191865323
1667857406710401500,138.69840161132814,-9.320469242078065,0.905069748467952,-2.912058828324079
1667857406720421600,138.70842163085936,-9.313501156631112,0.9139879450693726,-2.9315029489845035
1667857406730442500,138.7184423828125,-9.310691359907388,0.9181087513264268,-2.939129790601134
1667857406740462600,138.7284626464844,-9.313853038808704,0.9255838364474475,-2.9267423104539514
1667857406750482400,138.738482421875,-9.322439080846308,0.9424337028309703,-2.893843957197666
1667857406760502500,138.74850244140626,-9.33256650710702,0.9712973937436937,-2.851345708686113
1667857406770523600,138.7585236816406,-9.337367185387015,1.0115880492083729,-2.821461150293052
1667857406780543500,138.76854345703126,-9.327713221856952,1.0624479564171283,-2.8346698836952444
1667857406790563600,138.7785634765625,-9.292661782220005,1.1336357083182782,-2.9209064439073202
1667857406800583700,138.78858374023437,-9.231869167605042,1.2347618676915764,-3.0689313517734407
1667857406810604500,138.7986044921875,-9.162959297508001,1.3494596754953265,-3.223277279354632
1667857406820624600,138.80862475585937,-9.113069769701362,1.438586988712847,-3.3245772609248756
1667857406830644500,138.81864453125,-9.115749802565574,1.4639255742393433,-3.306116598343849
