time,seconds_elapsed,relativeAltitude,pressure
1667847445687004700,90.42100463867187,0.3065032958984375,994.5876312255859
1667847446755875600,91.48987548828126,0.31707763671875,994.5864105224609
1667847447824758500,92.55875854492187,0.31707763671875,994.5864105224609
1667847448893704700,93.62770458984374,0.31707763671875,994.5864868164062
1667847449962594600,94.69659448242187,0.2880096435546875,994.58984375
1667847451031502800,95.7655029296875,0.285369873046875,994.5903015136719
1667847452100432600,96.8344326171875,0.285369873046875,994.5903015136719
1667847453169390600,97.903390625,0.3012237548828125,994.5884704589844
1667847454238293800,98.97229370117188,0.3091583251953125,994.5874786376953
1667847455307125500,100.04112548828125,0.3144378662109375,994.5867919921875
1667847456376051700,101.1100517578125,0.32501220703125,994.5854949951172
1667847457444931600,102.178931640625,0.330291748046875,994.5851135253906
1667847458513845800,103.247845703125,0.330291748046875,994.5847320556641
1667847459582699500,104.31669946289063,0.330291748046875,994.5847320556641
1667847460651645700,105.38564575195312,0.330291748046875,994.5847320556641
1667847461720551700,106.4545517578125,0.311798095703125,994.5869445800781
1667847462789438700,107.52343872070313,0.311798095703125,994.5869445800781
1667847463858305800,108.59230590820313,0.3197174072265625,994.5861053466797
1667847464927222800,109.66122290039063,0.3197174072265625,994.5861053466797
1667847465996102700,110.7301025390625,0.3091583251953125,994.58740234375
1667847467064996600,111.79899658203125,0.3091583251953125,994.58740234375
1667847468133858600,112.86785864257813,0.3091583251953125,994.58740234375
1667847469202692600,113.93669262695313,0.3012237548828125,994.5885467529297
1667847470271573500,115.00557348632813,0.3012237548828125,994.5885467529297
1667847471340474600,116.074474609375,0.31707763671875,994.5863342285156
1667847472409347600,117.14334765625,0.31707763671875,994.5863342285156
1667847473478169600,118.21216967773438,0.31707763671875,994.5863342285156
1667847474547046700,119.28104663085938,0.330291748046875,994.5850372314453
1667847475615940600,120.34994067382813,0.330291748046875,994.5850372314453
1667847476684726800,121.41872680664062,0.330291748046875,994.5850372314453
1667847477753619700,122.48761962890624,0.3382110595703125,994.5840454101562
1667847478822476500,123.5564765625,0.3382110595703125,994.5840454101562
1667847479891338500,124.62533837890625,0.293304443359375,994.5893859863281
1667847480960227800,125.69422778320312,0.293304443359375,994.5893859863281
1667847482029109800,126.76310986328124,0.285369873046875,994.5901489257812
1667847483097997600,127.83199755859376,0.253662109375,994.5940399169922
1667847484166844700,128.9008447265625,0.253662109375,994.5940399169922
1667847485235682800,129.96968286132812,0.2959442138671875,994.5890045166016
1667847486304603600,131.03860375976564,0.2959442138671875,994.5890045166016
1667847487373472800,132.10747265625,0.303863525390625,994.5879364013672
1667847488442401500,133.17640161132812,0.303863525390625,994.5879364013672
1667847489511311600,134.2453115234375,0.322357177734375,994.5857238769531
1667847490580177700,135.314177734375,0.322357177734375,994.5857238769531
1667847491649044500,136.38304443359374,0.322357177734375,994.5857238769531
1667847492717854700,137.45185473632813,0.32501220703125,994.5854949951172
1667847493786688500,138.5206884765625,0.32501220703125,994.5854949951172
1667847494855457500,139.58945751953124,0.3355712890625,994.5841217041016
1667847495924266500,140.6582666015625,0.3355712890625,994.5841217041016
1667847496993075700,141.72707568359374,0.3514251708984375,994.5822906494141
1667847498061896400,142.795896484375,0.3514251708984375,994.5822906494141
1667847499130717400,143.86471752929688,0.3514251708984375,994.5822906494141
1667847500199525600,144.93352563476563,0.3514251708984375,994.5822906494141
1667847501268262700,146.0022626953125,0.3514251708984375,994.5822906494141
1667847502337083600,147.07108374023437,0.35406494140625,994.5822143554688
1667847503405938700,148.13993872070313,0.3699188232421875,994.580078125
1667847504474701600,149.20870166015624,0.3699188232421875,994.580078125
1667847505543508500,150.2775085449219,0.3699188232421875,994.5802307128906
1667847506612328400,151.34632836914062,0.3699188232421875,994.5802307128906
1667847507681153500,152.41515356445314,0.3699188232421875,994.5802307128906
1667847508749950700,153.48395068359375,0.3804931640625,994.5790100097656
1667847509818799600,154.55279956054687,0.4016265869140625,994.5763397216797
